event_label,users,total_events,unique_events
urn:uuid:e9d607c7-3430- 4fd6-a744-2ee7046d984b,2,5,3
mass balance,2,2,2
doi:10.18739/A2K65D,2,4,4
david fortin,2,5,5
lora,2,37,17
"Barrow, Alaska",2,2,2
van,2,2,2
schimel,2,4,4
ashjian,2,5,5
feder,2,2,2
png,2,2,2
hinzman,2,3,3
Laurence C. Smith,2,2,2
bates,2,2,2
urn:uuid:e38fd7f6-3c00-4e4a-87bf-da09d85c90b0,2,4,4
1981 to 1984,2,2,2
tiff,2,3,3
North pole,2,2,2
walter anthony,2,3,3
borehole temperature,2,3,3
motley,2,2,2
1984 to 2017,2,2,2
SID,2,2,2
2002 to 2015,2,2,2
2008 to 2009,2,2,2
BCO-DMO,2,2,2
Beard,2,2,2
1900 to 2017,2,2,2
alicia,2,24,9
cloud properties,2,2,2
seward,2,2,2
Helheim,2,2,2
Shainin,2,3,2
bromine,2,2,2
Ashjian,2,6,4
coopman,2,2,2
graybiel,2,2,2
pasta,2,2,2
toole,2,2,2
BROMEX,2,2,2
EARTH SCIENCE > CLIMATE INDICATORS > TERRESTRIAL HYDROSPHERE INDICATORS > PERMAFROST MELT,2,2,2
orcid.org/0000-0002-1736-309X,2,2,2
1970 to 2015,2,2,2
1972 to 1972,2,3,2
2011 to 2014,2,2,2
1969 to 2015,2,2,2
urn:uuid:ffd4fb38-deb3- 4d62-9e9e-ae84bc69abbb,2,4,3
1980 to 2017,2,2,2
dust,2,3,3
michael steele,2,2,2
1204176,2,4,4
Amundson,2,3,3
1964 to 1964,2,3,3
Chukchi Sea,2,2,2
1523191,2,3,3
gas,2,2,2
society,2,2,2
Andrey Proshutinsky,2,3,3
481.119,2,2,2
Marco Tedesco,2,2,2
Vegetation Sampling,2,2,2
Joseph R. McConnell,2,2,2
Lake Peters,2,2,2
alignment,2,2,2
susan natali,2,2,2
ceilo,2,4,4
Edward A.G. Schuur,2,2,2
1994 to 2017,2,2,2
1996,2,6,5
13.101,2,2,2
microwave radiometer,2,2,2
1970 to 1970,2,3,3
doi:10.5065/D61J97X5,2,7,5
Toolik Lake,2,2,2
bluhm,2,2,2
1964 to 1966,2,2,2
polakov,2,2,2
urn:uuid:d6be9a14-3d39-4848-b7e3- 4a79c740e2b5,2,6,6
Michael Loranty,2,2,2
oceans,2,2,2
Hinzman,2,2,2
Post,2,2,2
USA,2,2,2
nicewonger,2,6,6
1987 to 2017,2,2,2
BOWFEST,2,2,2
1997,2,9,8
arrigo,2,2,2
mammalia,2,2,2
juhl,2,2,2
1977 to 1977,2,3,2
eider,2,2,2
health,2,2,2
1986 to 2017,2,2,2
ice depth,2,2,2
VERTICAL PROFILE,2,2,2
Shantenu,2,2,2
"Subannual isotopic composition of nitrate at Summit, Greenland 1760-2002.",2,2,2
thaw,2,2,2
kathleen m stafford,2,4,4
ARCTIC OCEAN > BARENTS SEA,2,2,2
doi:10.18739/A21G6K,2,4,4
mankoff,2,2,2
Karen Junge,2,2,2
481.105,2,2,2
2007 to 2010,2,2,2
.mat,2,3,3
Svalbard,2,2,2
James McClelland,2,3,2
forest,2,2,2
1304563,2,3,3
Kaufman,2,3,2
roll 2,2,2,2
Steele,2,2,2
Towards an Arctic Observing Network,2,5,3
Sayres,2,3,3
nasa,2,3,2
A3,2,3,2
1974 to 1974,2,2,2
"Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska",2,2,2
Jha,2,5,4
1107662,2,3,3
code,2,2,2
Spall,2,2,2
bear,2,3,3
649006,2,4,3
Ice Tethered Profiler,2,2,2
doi:10.5065/D6WS8RBJ,2,3,3
Shur,2,4,2
1975 to 1975,2,5,5
doi:10.5065/D67942T9,2,6,5
Mackenzie Grieman,2,2,2
Baffin,2,2,2
EARTH SCIENCE > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > SOIL TEMPERATURE,2,2,2
Beatty,2,2,2
Passive acoustic data from A2 in the Bering Strait 2014-2015,1,1,1
1304052,1,1,1
2004 to 2007,1,1,1
1344348,1,1,1
baffin,1,1,1
robert Hawley,1,1,1
Arctic oil,1,1,1
landsat,1,3,3
Creative Commons Public Domain,1,1,1
13.605,1,1,1
13.408,1,1,1
barrow sea ice,1,2,1
temperature terrestrial,1,1,1
Shanin,1,1,1
Nicolaysen,1,1,1
KADKO,1,1,1
ch4,1,3,2
"Surface, Operational GTS",1,1,1
leaf litter,1,1,1
Aura,1,1,1
historical,1,1,1
sea ice and locational,1,1,1
macrobenthic data,1,1,1
greenhouse,1,1,1
Romanovskiy,1,1,1
psu,1,2,1
cammill,1,1,1
fishes,1,1,1
An array of Ice,1,1,1
Liu,1,1,1
geophysics,1,1,1
Carin J. Ashjian and Robert G. Campbell. 2016.,1,1,1
headwater streams,1,1,1
2004 to 2010,1,1,1
integrating observations,1,1,1
Don Perovich,1,1,1
social science,1,2,2
phocidae,1,1,1
"ATLANTIC OCEAN > NORTH ATLANTIC OCEAN, GEOGRAPHIC REGION > NORTHERN HEMISPHERE, ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTH SEA, NORTHERN EUROPE, GEOGRAPHIC REGION > EURASIA, ATLANTIC OCEAN,",1,1,1
paul smith,1,1,1
9464.1,1,1,1
Ina,1,1,1
cancer,1,1,1
orcid.org/0000-0002-4144-4914,1,1,1
international polar year,1,1,1
urn:uuid:97502dc9-0ede-4b38-aabe-f00e6be70d54,1,1,1
osterber,1,1,1
misp,1,1,1
fornbyli,1,1,1
dubus,1,1,1
1107346,1,1,1
mar greenland,1,1,1
richard krishfield,1,1,1
eurycercus,1,1,1
Global Warming,1,1,1
NObre,1,1,1
chuckchi,1,1,1
hly1103,1,1,1
Mette Kaufman,1,1,1
Monitoring,1,1,1
benthic biomass,1,1,1
hly1402,1,2,1
zhag,1,1,1
Eric Post,1,1,1
Anna Prentis,1,1,1
depth,1,1,1
Passive acoustic data from A3 in the Bering Strait 2014-2015,1,1,1
2009 ctd,1,1,1
18739,1,1,1
"permafrost"" ""canada",1,1,1
summit station,1,1,1
Stieglitz,1,1,1
MAR model,1,1,1
Halperin,1,1,1
Arctic EIS zooplankton,1,1,1
1996 to 1997,1,1,1
coml,1,2,1
ice jams,1,1,1
(ITP)55,1,1,1
doi:10.5065/D64J0C8T.,1,1,1
Sitka,1,1,1
canada animal,1,1,1
0995 to 1995,1,1,1
Kuzitrin river,1,1,1
tunu,1,1,1
Anna Marie Prentiss,1,2,2
Zanotti,1,1,1
